src/main/java/com/mb/MbSpringJwtApplication.java:9:	UnnecessaryAnnotationValueElement:	UnnecessaryAnnotationValueElement: Avoid the use of value in annotations when its the only element
src/main/java/com/mb/MbSpringJwtApplication.java:13:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/MbSpringJwtApplication.java:13:	UseUtilityClass:	UseUtilityClass: All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.
src/main/java/com/mb/MbSpringJwtApplication.java:15:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/MbSpringJwtApplication.java:15:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'args' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggingAspect.java:18:	AtLeastOneConstructor:	AtLeastOneConstructor: Each class should declare at least one constructor
src/main/java/com/mb/common/aop/LoggingAspect.java:18:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/aop/LoggingAspect.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/aop/LoggingAspect.java:20:	ImmutableField:	ImmutableField: Private field 'log' could be made final; it is only initialized in the declaration or constructor.
src/main/java/com/mb/common/aop/LoggingAspect.java:20:	LoggerIsNotStaticFinal:	LoggerIsNotStaticFinal: The Logger variable declaration does not contain the static and final modifiers
src/main/java/com/mb/common/aop/LoggingAspect.java:22:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/aop/LoggingAspect.java:26:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/common/aop/LoggingAspect.java:26:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'joinPoint' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggingAspect.java:27:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/main/java/com/mb/common/aop/LoggingAspect.java:31:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/common/aop/LoggingAspect.java:31:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'joinPoint' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggingAspect.java:32:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/main/java/com/mb/common/aop/LoggingAspect.java:36:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/common/aop/LoggingAspect.java:36:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'joinPoint' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggingAspect.java:36:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'result' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggingAspect.java:41:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/main/java/com/mb/common/aop/LoggingAspect.java:41:	LongVariable:	LongVariable: Avoid excessively long variable names like proceedingJoinPoint
src/main/java/com/mb/common/aop/LoggingAspect.java:41:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'proceedingJoinPoint' is not assigned and could be declared final
src/main/java/com/mb/common/aop/LoggingAspect.java:42:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'methodSignature' could be declared final
src/main/java/com/mb/common/aop/LoggingAspect.java:44:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (method chain calls)
src/main/java/com/mb/common/aop/LoggingAspect.java:44:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (object not created locally)
src/main/java/com/mb/common/aop/LoggingAspect.java:44:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'className' could be declared final
src/main/java/com/mb/common/aop/LoggingAspect.java:45:	LawOfDemeter:	LawOfDemeter: Potential violation of Law of Demeter (object not created locally)
src/main/java/com/mb/common/aop/LoggingAspect.java:45:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'methodName' could be declared final
